a better place,1
a.m.,2
aaahhh,3
able,4
aboard,5
Aboriginal,6
about,7
above,8
abroad,9
academy,10
accept,11
accident,12
acid rain,13
across,14
act,15
action,16
active,17
active volcano,18
activity,19
actor,20
actress,21
actually,22
add,23
addition,24
address,25
admire,26
Adolph,27
adult,28
advantage,29
adventure,30
advertisement,31
advice,32
affection,33
afraid,34
Africa,35
African-American,36
after,37
afternoon,38
afternoon tea,39
again,40
against,41
age,42
Agghhhhhh,43
Agnes,44
ago,45
agree,46
ah,47
ahead,48
AIDS,49
air,50
air conditioner,51
Air Japan,52
air pollution,53
airport,54
Aki Ra,55
Alabama,56
alarm clock,57
Alaska,58
Alaskan,59
album,60
Alex,61
Alexandra,62
Alice,63
all,64
all right,65
Allen,66
Allie,67
allow,68
almost,69
aloha,70
aloha shirt,71
alone,72
along,73
already,74
also,75
ALT,76
although,77
aluminum foil,78
always,79
am,80
amaze,81
amazing,82
Amazon,83
Amazon River,84
ambulance,85
America,86
American,87
American English,88
American football,89
among,90
amount,91
amusement,92
amusement park,93
Amy,94
an,95
Anangu,96
ancestor,97
ancestral,98
anchor,99
ancient,100
and,101
Andes,102
Andy,103
Angel Falls,104
angry,105
animal,106
animated,107
animation,108
anime,109
Ann,110
Anne Frank,111
anniversary,112
announce,113
announcer,114
another,115
answer,116
anti-Jewish laws,117
any,118
anymore,119
anyone,120
anything,121
anytime,122
anyway,123
anywhere,124
apartheid,125
apartment,126
Apollo 11,127
appear,128
appearance,129
apple,130
April,131
apron,132
aquarium,133
Arabian,134
architect,135
Arctic,136
are,137
area,138
arena,139
Argentina,140
arm,141
Army,142
around,143
arrest,144
arrival,145
arrive,146
Arsenal,147
art,148
Arthur Conan Doyle,149
artificial,150
artist,151
as,152
Asia,153
Asian,154
ask,155
asleep,156
assist,157
assistant,158
"Association of Tennis,159
Professionals",160
Astro Boy,161
astronaut,162
at,163
ate,164
Athens,165
athlete,166
Atlanta,167
Atom,168
atomic,169
atomic bomb,170
Atomic Bomb Dome,171
attach,172
attack,173
attend,174
attention,175
attic,176
attitude,177
attract,178
audience,179
August,180
Aung San Suu Kyi,181
aunt,182
Australia,183
Australian,184
autumn,185
average,186
away,187
awesome,188
B-29 bomber,189
baby,190
back,191
back-to-school,192
backyard,193
bad,194
badge,195
badminton,196
bag,197
bagpipes,198
bake,199
Baker,200
Baker Street,201
bakery,202
baking powder,203
balance,204
ball,205
balloon,206
bamboo,207
banana,208
band,209
bandanna,210
Bangkok,211
Bangladesh,212
bank,213
bark,214
barrier,215
base,216
baseball,217
basic,218
basket,219
basketball,220
bass,221
bat,222
bath,223
bathhouse,224
bathroom,225
batter,226
BBC,227
be,228
beach,229
bean,230
bear,231
Beatles,232
Beatrix Potter,233
beautiful,234
beauty,235
beauty shop,236
became,237
because,238
Becky,239
become,240
bed,241
bedroom,242
bedtime,243
beef,244
been,245
beer,246
before,247
began,248
begin,249
beginner,250
beginning,251
begun,252
behave,253
behind,254
belief,255
believe,256
bell,257
belong,258
below,259
belt,260
Ben,261
bench,262
Benjamin Franklin,263
Benjmin Hall,264
bento,265
beside,266
best,267
Beth,268
better,269
between,270
